,Forecast,Lower_95,Upper_95
2024-12-31,250.64065145718064,246.87940723227118,254.4018956820901
2025-01-01,250.64065145718064,245.3539056098524,255.92739730450887
2025-01-02,250.64065145718064,244.17904134908298,257.1022615652783
2025-01-03,250.64065145718064,243.18712016497443,258.09418274938685
2025-01-06,250.64065145718064,242.31251527561366,258.9687876387476
2025-01-07,250.64065145718064,241.5214093947309,259.75989351963034
2025-01-08,250.64065145718064,240.79365702596562,260.48764588839566
2025-01-09,250.64065145718064,240.1161076255836,261.1651952887777
2025-01-10,250.64065145718064,239.47961448035653,261.80168843400475
2025-01-13,250.64065145718064,238.87751114802583,262.4037917663354
2025-01-14,250.64065145718064,238.30476099610365,262.9765419182576
2025-01-15,250.64065145718064,237.75744855563022,263.52385435873106
2025-01-16,250.64065145718064,237.23245841943896,264.0488444949223
2025-01-17,250.64065145718064,236.72726351347072,264.55403940089053
2025-01-20,250.64065145718064,236.23978038606137,265.04152252829994
2025-01-21,250.64065145718064,235.7682672790528,265.5130356353085
2025-01-22,250.64065145718064,235.31125046834043,265.9700524460208
2025-01-23,250.64065145718064,234.86746984371146,266.41383307064984
2025-01-24,250.64065145718064,234.43583792087884,266.84546499348244
2025-01-27,250.64065145718064,234.0154084429827,267.2658944713786
2025-01-28,250.64065145718064,233.60535196418772,267.67595095017356
2025-01-29,250.64065145718064,233.20493660659903,268.07636630776227
2025-01-30,250.64065145718064,232.81351271071827,268.467790203643
2025-01-31,250.64065145718064,232.4305004577944,268.85080245656684
2025-02-03,250.64065145718064,232.05537978966728,269.225923124694
2025-02-04,250.64065145718064,231.6876821254347,269.59362078892656
2025-02-05,250.64065145718064,231.32698349832492,269.95431941603636
2025-02-06,250.64065145718064,230.97289882603954,270.3084040883217
2025-02-07,250.64065145718064,230.62507709383587,270.65622582052544
2025-02-10,250.64065145718064,230.28319727868836,270.9981056356729
