,Forecast,Lower_95,Upper_95
2024-12-31,5911.776769729991,5838.694304301832,5984.859235158151
2025-01-01,5911.776769729991,5811.9999183109085,6011.553621149074
2025-01-02,5911.776769729991,5791.0713704922055,6032.482168967777
2025-01-03,5911.776769729991,5773.269850295615,6050.283689164368
2025-01-06,5911.776769729991,5757.50901529878,6066.044524161203
2025-01-07,5911.776769729991,5743.215465204616,6080.338074255367
2025-01-08,5911.776769729991,5730.042659807435,6093.510879652548
2025-01-09,5911.776769729991,5717.7621825583265,6105.791356901656
2025-01-10,5911.776769729991,5706.214046062884,6117.3394933970985
2025-01-13,5911.776769729991,5695.281026844625,6128.272512615358
2025-01-14,5911.776769729991,5684.87419148652,6138.679347973462
2025-01-15,5911.776769729991,5674.924171391737,6148.629368068246
2025-01-16,5911.776769729991,5665.375619843004,6158.177919616979
2025-01-17,5911.776769729991,5656.183538223996,6167.370001235987
2025-01-20,5911.776769729991,5647.310754299417,6176.242785160566
2025-01-21,5911.776769729991,5638.7261395461865,6184.827399913796
2025-01-22,5911.776769729991,5630.403316878055,6193.150222581928
2025-01-23,5911.776769729991,5622.319703317944,6201.233836142039
2025-01-24,5911.776769729991,5614.4557872516,6209.097752208383
2025-01-27,5911.776769729991,5606.794573613623,6216.75896584636
2025-01-28,5911.776769729991,5599.32115164318,6224.232387816803
2025-01-29,5911.776769729991,5592.022353654062,6231.531185805921
2025-01-30,5911.776769729991,5584.886482437593,6238.66705702239
2025-01-31,5911.776769729991,5577.903091144581,6245.650448315402
2025-02-03,5911.776769729991,5571.062803802262,6252.4907356577205
2025-02-04,5911.776769729991,5564.357167657441,6259.196371802542
2025-02-05,5911.776769729991,5557.778530708528,6265.775008751455
2025-02-06,5911.776769729991,5551.319939365599,6272.233600094384
2025-02-07,5911.776769729991,5544.975052337076,6278.578487122907
2025-02-10,5911.776769729991,5538.738067705068,6284.815471754915
