,Forecast,Lower_95,Upper_95
2024-12-31,19501.232021495543,19221.03251450598,19781.431528485107
2025-01-01,19501.232021495543,19116.145000210596,19886.31904278049
2025-01-02,19501.232021495543,19034.249940247206,19968.21410274388
2025-01-03,19501.232021495543,18964.713136038612,20037.750906952475
2025-01-06,19501.232021495543,18903.20797122928,20099.256071761807
2025-01-07,19501.232021495543,18847.463702485067,20155.00034050602
2025-01-08,19501.232021495543,18796.112694582218,20206.35134840887
2025-01-09,19501.232021495543,18748.255583994596,20254.20845899649
2025-01-10,19501.232021495543,18703.263497256314,20299.200545734773
2025-01-13,19501.232021495543,18660.676243500144,20341.787799490943
2025-01-14,19501.232021495543,18620.14504158586,20382.319001405227
2025-01-15,19501.232021495543,18581.39806016813,20421.065982822958
2025-01-16,19501.232021495543,18544.218559387406,20458.24548360368
2025-01-17,19501.232021495543,18508.430421526486,20494.0336214646
2025-01-20,19501.232021495543,18473.888229405457,20528.57581358563
2025-01-21,19501.232021495543,18440.470258708556,20561.99378428253
2025-01-22,19501.232021495543,18408.07340188178,20594.39064110931
2025-01-23,19501.232021495543,18376.609410180623,20625.854632810464
2025-01-24,19501.232021495543,18346.002058187067,20656.46198480402
2025-01-27,19501.232021495543,18316.184968264904,20686.279074726182
2025-01-28,19501.232021495543,18287.099916403375,20715.364126587712
2025-01-29,19501.232021495543,18258.69549532802,20743.76854766307
2025-01-30,19501.232021495543,18230.92604689518,20771.537996095907
2025-01-31,19501.232021495543,18203.750800301845,20798.713242689242
2025-02-03,19501.232021495543,18177.133169598448,20825.33087339264
2025-02-04,19501.232021495543,18151.040175926875,20851.42386706421
2025-02-05,19501.232021495543,18125.441968440555,20877.022074550532
2025-02-06,19501.232021495543,18100.311424056144,20902.152618934942
2025-02-07,19501.232021495543,18075.62381073956,20926.84023225153
2025-02-10,19501.232021495543,18051.3565024182,20951.107540572888
