,Forecast,Lower_95,Upper_95
2024-12-31,420.4081632174495,413.6216197624296,427.1947066724694
2025-01-01,420.4081632174495,411.2260608998713,429.5902655350277
2025-01-02,420.4081632174495,409.3372628984115,431.4790635364875
2025-01-03,420.4081632174495,407.7267332989555,433.0895931359435
2025-01-06,420.4081632174495,406.29885793046685,434.51746850443214
2025-01-07,420.4081632174495,405.0027639501511,435.8135624847479
2025-01-08,420.4081632174495,403.80755607528516,437.00877035961383
2025-01-09,420.4081632174495,402.6928029786037,438.1235234562953
2025-01-10,420.4081632174495,401.6441599320181,439.1721665028809
2025-01-13,420.4081632174495,400.6510973877449,440.16522904715407
2025-01-14,420.4081632174495,399.7056155215044,441.1107109133946
2025-01-15,420.4081632174495,398.8014672181422,442.0148592167568
2025-01-16,420.4081632174495,397.93366338074384,442.88266305415516
2025-01-17,420.4081632174495,397.09814447413476,443.71818196076424
2025-01-20,420.4081632174495,396.29155473455364,444.52477170034535
2025-01-21,420.4081632174495,395.51108235199695,445.30524408290205
2025-01-22,420.4081632174495,394.75434349163703,446.06198294326197
2025-01-23,420.4081632174495,394.0192962954294,446.7970301394696
2025-01-24,420.4081632174495,393.3041759031873,447.5121505317117
2025-01-27,420.4081632174495,392.607444535457,448.208881899442
2025-01-28,420.4081632174495,391.9277525789266,448.8885738559724
2025-01-29,420.4081632174495,391.2639078479519,449.5524185869471
2025-01-30,420.4081632174495,390.61485101578097,450.201475419118
2025-01-31,420.4081632174495,389.9796357662288,450.8366906686702
2025-02-03,420.4081632174495,389.3574126024758,451.4589138324232
2025-02-04,420.4081632174495,388.74741552165284,452.06891091324616
2025-02-05,420.4081632174495,388.14895095861567,452.6673754762833
2025-02-06,420.4081632174495,387.56138854376053,453.25493789113847
2025-02-07,420.4081632174495,386.98415332384616,453.83217311105284
2025-02-10,420.4081632174495,386.4167191723476,454.3996072625514
